File,Start,Stop,Label,CCA_Label,Best_Freq,Correlation
S06.xdf,358406.8577906912,358411.8490904565,2,2,8.0,0.4395946099616419
S06.xdf,358418.6382930814,358423.6359260469,3,3,9.0,0.48634163346647474
S06.xdf,358430.2337332655,358435.23410173104,4,4,11.0,0.5392744626133613
S06.xdf,358442.02768895606,358447.02693022165,5,5,7.5,0.4083233647308393
S06.xdf,358453.62015624,358458.6197021056,6,6,8.5,0.5107477353998284
S06.xdf,358465.4148351307,358470.4263723967,1,1,7.0,0.48876836490390074
S06.xdf,358477.01797601493,358482.03061598097,2,2,8.0,0.4849057165262736
S06.xdf,358488.6070938988,358493.60624446435,3,3,9.0,0.511152706833338
S06.xdf,358500.20809448307,358505.2040714485,4,4,11.0,0.4808869780860941
S06.xdf,358511.99798437353,358516.99497823906,5,5,7.5,0.506813487087431
S06.xdf,358523.5962806577,358528.59335892316,6,6,8.5,0.5774172104920127
S06.xdf,358535.19739494193,358540.1935191074,1,1,7.0,0.40804520723909266
S06.xdf,358546.79035752587,358551.7833047912,2,2,8.0,0.5455634756192859
S06.xdf,358558.38623040996,358563.3855411755,3,3,9.0,0.5054046287610764
S06.xdf,358570.19600350107,358575.1901451665,4,4,11.0,0.4754540607197027
S06.xdf,358581.77596778463,358586.7835851505,5,5,7.5,0.47403653336393375
S06.xdf,358593.38849046925,358598.37666623446,6,6,8.5,0.48167920326465774
S07.xdf,358797.9944218887,358802.99861067405,1,1,7.0,0.5021182793563456
S07.xdf,358809.6162513547,358814.5934549401,2,2,8.0,0.44032996050937706
S07.xdf,358821.1973491208,358826.20225670614,3,3,9.0,0.5072123068891333
S07.xdf,358832.9933091863,358837.9970959716,4,4,11.0,0.5077603892398785
S07.xdf,358844.5990473523,358849.6027631377,5,5,7.5,0.4435635374677594
S07.xdf,358856.1930679184,358861.19245850376,6,6,8.5,0.5384895654867023
S07.xdf,358867.82770658436,358872.7954265698,1,1,7.0,0.4146011717887858
S07.xdf,358879.3964338505,358884.3941833359,2,2,8.0,0.5442802432514819
S07.xdf,358890.99514171656,358895.9933533019,3,3,9.0,0.6018389221511408
S07.xdf,358902.796695282,358907.8061011674,4,4,11.0,0.5168656428786482
S07.xdf,358914.403009448,358919.39834543347,5,5,7.5,0.5267155329359999
S07.xdf,358925.9945303141,358931.00021199946,6,6,8.5,0.5640696630307712
S07.xdf,358937.6028628801,358942.6042562655,1,1,7.0,0.4686338009416427
S07.xdf,358949.2063023462,358954.1973888316,2,2,8.0,0.5606315632853286
S07.xdf,358960.80422431225,358965.79742149764,3,3,9.0,0.5664837612525784
S07.xdf,358972.59766287776,358977.5962504631,4,4,11.0,0.5567879586502235
S07.xdf,358984.2004292438,358989.20973382914,5,5,7.5,0.5276316753510744
S07.xdf,358995.8041184098,359000.7995045952,6,6,8.5,0.5464775649954629
S07.xdf,359007.40009817586,359012.39972356125,1,1,7.0,0.4796226998203769
S07.xdf,359019.0108356419,359024.0023447273,2,2,8.0,0.5045388193432967
S07.xdf,359030.60898790794,359035.6080689933,3,3,9.0,0.4854881695271584
S07.xdf,359042.211119374,359047.2078399594,4,4,11.0,0.4886112478953568
S07.xdf,359054.00546573946,359059.01002062485,5,5,7.5,0.5175443462863161
S07.xdf,359065.60764850554,359070.6172781909,6,6,8.5,0.48510547713738444
S08.xdf,182327.89815683654,182332.90961902848,1,1,7.0,0.3176626915617534
S08.xdf,182339.70156621753,182344.70560800948,2,2,8.0,0.45817162480570733
S08.xdf,182351.30964359886,182356.51204009046,3,3,9.0,0.39661380411158215
S08.xdf,182363.11773527984,182368.1189787718,4,4,11.0,0.4268809398127869
S08.xdf,182374.52796376144,182379.72398185308,5,5,7.5,0.35926712537315164
S08.xdf,182386.32707574245,182391.33464913437,6,6,8.5,0.3914190926786396
S08.xdf,182397.93648992377,182402.9516515157,1,1,7.0,0.2825505294029331
S08.xdf,182409.74602600475,182414.74967429668,2,2,8.0,0.4167343175648064
S08.xdf,182421.36189328603,182426.36041407796,3,3,9.0,0.5554418816265738
S08.xdf,182432.97612036733,182437.97122235928,4,4,11.0,0.3337998210905843
S08.xdf,182444.77823554832,182449.78016744024,5,5,7.5,0.5198438584592466
S08.xdf,182456.41361322958,182461.39474242157,6,6,8.5,0.37836148604687875
S08.xdf,182467.98906271096,182472.9932934029,1,1,7.0,0.34062619893922164
S08.xdf,182479.60206809224,182484.62108388418,2,2,8.0,0.34484270887916735
S08.xdf,182491.2522993735,182496.2087171655,3,3,9.0,0.4103777719218815
S08.xdf,182503.01571245454,182508.0161396465,4,4,11.0,0.4257482824051315
S08.xdf,182514.62080933587,182519.63140992777,5,5,7.5,0.46788857451287963
S08.xdf,182526.24032201714,182531.23453190908,6,6,8.5,0.4218621780919999
S08.xdf,182538.03803739813,182543.0399736901,1,1,7.0,0.4040556440508261
S08.xdf,182549.6723268794,182554.65861347137,2,2,8.0,0.5275593871565292
S08.xdf,182561.26221886073,182566.2558412527,3,3,9.0,0.43530341764593594
S08.xdf,182572.86070564206,182577.863967934,4,4,11.0,0.3845404375581743
S08.xdf,182584.47914082336,182589.47649961532,5,5,7.5,0.4157255782933872
S08.xdf,182596.27924190435,182601.28167289632,6,6,8.5,0.37810206082320197
S09.xdf,183854.96166966713,183859.95670261089,1,1,7.0,0.33812496911635537
S09.xdf,183866.56661090118,183871.55873344486,2,2,8.0,0.3319294377034187
S09.xdf,183878.36080834063,183883.16133757881,3,3,9.0,0.5507045933066198
S09.xdf,183889.95874747445,183894.9624084185,4,4,11.0,0.4284512424496347
S09.xdf,183901.56434510852,183906.56748765253,5,5,7.5,0.4550061031415075
S09.xdf,183913.16654194248,183918.16905378646,6,6,8.5,0.3427756353477378
S09.xdf,183924.96636478213,183929.9800041264,1,1,7.0,0.4744361212885135
S09.xdf,183936.57885441638,183941.57306546014,2,2,8.0,0.47667961462466985
S09.xdf,183948.37303005584,183953.3738531998,3,3,9.0,0.39521365546597764
S09.xdf,183959.99027249022,183964.9781587338,4,4,11.0,0.3991680206125526
S09.xdf,183971.77797462954,183976.7833470736,5,5,7.5,0.43168562417895556
S09.xdf,183983.38466866364,183988.3845516075,6,6,8.5,0.338732370056366
S09.xdf,183994.9878710976,183999.9933592417,1,1,7.0,0.3660982949534954
S09.xdf,184006.59416273166,184011.5982107757,2,2,8.0,0.49195333486095266
S09.xdf,184018.19702786565,184023.20283100972,3,3,9.0,0.4197995495138206
S09.xdf,184029.82136640023,184034.8032860436,4,4,11.0,0.38763160155233284
